[D] Systrack v0.7
[D] Command line: systrack -vvvv --format json --arch riscv --kdir /mnt/m2data/linux-worktrees/v6.14 --remap /mnt/m2data/linux /mnt/m2data/kernels/vmlinux-riscv-v6.14
[D] Running command: readelf -Ws /mnt/m2data/kernels/vmlinux-riscv-v6.14
[D] Running command: readelf -WS /mnt/m2data/kernels/vmlinux-riscv-v6.14
Detected kernel version: 6.14.0 (from vmlinux)
[D] Arch: ArchRiscV(name='riscv', bits32=True, abi='rv32', compat=False, ...)
[D] Syscall table: Symbol("sys_call_table" at 0xc1400c80, type=OBJECT, size=0x74c)
[I] Syscall table (sys_call_table) is 1868 bytes, 467 entries
[D] Found ni_syscall: Symbol("__riscv_sys_ni_syscall" at 0xc00113c2, type=FUNC, size=0x14)
[D] Found ni_syscall: Symbol("sys_ni_syscall" at 0xc0044f1c, type=FUNC, size=0x14)
[D] sys_call_table[0]: Symbol("__riscv_sys_io_setup" at 0xc02b9486, type=FUNC, size=0x26)
[D] sys_call_table[1]: Symbol("__riscv_sys_io_destroy" at 0xc02b95c6, type=FUNC, size=0x24)
[D] sys_call_table[2]: Symbol("__riscv_sys_io_submit" at 0xc02b9784, type=FUNC, size=0x24)
[D] sys_call_table[3]: Symbol("__riscv_sys_io_cancel" at 0xc02b9902, type=FUNC, size=0x24)
[D] sys_call_table[4]: Symbol("__riscv_sys_ni_syscall" at 0xc00113c2, type=FUNC, size=0x14)
[D] sys_call_table[5]: Symbol("__riscv_sys_setxattr" at 0xc0286d6e, type=FUNC, size=0x24)
[D] sys_call_table[6]: Symbol("__riscv_sys_lsetxattr" at 0xc0286db8, type=FUNC, size=0x24)
[D] sys_call_table[7]: Symbol("__riscv_sys_fsetxattr" at 0xc0286dfa, type=FUNC, size=0x24)
[D] sys_call_table[8]: Symbol("__riscv_sys_getxattr" at 0xc028716c, type=FUNC, size=0x24)
[D] sys_call_table[9]: Symbol("__riscv_sys_lgetxattr" at 0xc02871b4, type=FUNC, size=0x24)
[D] sys_call_table[10]: Symbol("__riscv_sys_fgetxattr" at 0xc02871f4, type=FUNC, size=0x24)
[D] sys_call_table[11]: Symbol("__riscv_sys_listxattr" at 0xc0287270, type=FUNC, size=0x24)
[D] sys_call_table[12]: Symbol("__riscv_sys_llistxattr" at 0xc02872b6, type=FUNC, size=0x24)
[D] sys_call_table[13]: Symbol("__riscv_sys_flistxattr" at 0xc02872f6, type=FUNC, size=0x24)
[D] sys_call_table[14]: Symbol("__riscv_sys_removexattr" at 0xc0287370, type=FUNC, size=0x24)
[D] sys_call_table[15]: Symbol("__riscv_sys_lremovexattr" at 0xc02873b4, type=FUNC, size=0x24)
[D] sys_call_table[16]: Symbol("__riscv_sys_fremovexattr" at 0xc02873f2, type=FUNC, size=0x24)
[D] sys_call_table[17]: Symbol("__riscv_sys_getcwd" at 0xc0297d4c, type=FUNC, size=0x24)
[D] sys_call_table[18]: Symbol("__riscv_sys_ni_syscall" at 0xc00113c2, type=FUNC, size=0x14)
[D] sys_call_table[19]: Symbol("__riscv_sys_eventfd2" at 0xc02b27ec, type=FUNC, size=0x24)
[D] sys_call_table[20]: Symbol("__riscv_sys_epoll_create1" at 0xc02aef62, type=FUNC, size=0x24)
[D] sys_call_table[21]: Symbol("__riscv_sys_epoll_ctl" at 0xc02afb0c, type=FUNC, size=0x24)
[D] sys_call_table[22]: Symbol("__riscv_sys_epoll_pwait" at 0xc02afe96, type=FUNC, size=0x24)
[D] sys_call_table[23]: Symbol("__riscv_sys_dup" at 0xc027b264, type=FUNC, size=0x24)
[D] sys_call_table[24]: Symbol("__riscv_sys_dup3" at 0xc027b0b6, type=FUNC, size=0x24)
[D] sys_call_table[25]: Symbol("__riscv_sys_fcntl64" at 0xc026c17e, type=FUNC, size=0x24)
[D] sys_call_table[26]: Symbol("__riscv_sys_inotify_init1" at 0xc02a9f24, type=FUNC, size=0x24)
[D] sys_call_table[27]: Symbol("__riscv_sys_inotify_add_watch" at 0xc02aa2da, type=FUNC, size=0x24)
[D] sys_call_table[28]: Symbol("__riscv_sys_inotify_rm_watch" at 0xc02aa3ac, type=FUNC, size=0x24)
[D] sys_call_table[29]: Symbol("__riscv_sys_ioctl" at 0xc026d994, type=FUNC, size=0x26)
[D] sys_call_table[30]: Symbol("__riscv_sys_ioprio_set" at 0xc04a88be, type=FUNC, size=0x24)
[D] sys_call_table[31]: Symbol("__riscv_sys_ioprio_get" at 0xc04a8ba6, type=FUNC, size=0x24)
[D] sys_call_table[32]: Symbol("__riscv_sys_flock" at 0xc02bed4a, type=FUNC, size=0x24)
[D] sys_call_table[33]: Symbol("__riscv_sys_mknodat" at 0xc0269fec, type=FUNC, size=0x24)
[D] sys_call_table[34]: Symbol("__riscv_sys_mkdirat" at 0xc026a206, type=FUNC, size=0x24)
[D] sys_call_table[35]: Symbol("__riscv_sys_unlinkat" at 0xc026a746, type=FUNC, size=0x24)
[D] sys_call_table[36]: Symbol("__riscv_sys_symlinkat" at 0xc026a958, type=FUNC, size=0x24)
